,,rx5 ALA,rx5 CAN,rx5 CEA,rx5 CWP,rx5 NEA,rx5 NEF,rx5 NPL,rx5 NWP,rx5 SEA,rx5 SPL,rx5 SWP,rx5 USA,rx5 USC
2006,4,-0.49,1.95,1.22,0.75,-0.29,1.15,1.73,0.75,1,-0.46,-0.86,-0.05,0.52
2007,1,-1.3,0.76,0.28,-0.05,-0.73,1.27,0.05,0.7,-0.5,1.93,-0.76,0.3,0.7
2007,2,-1.72,2.88,1.75,-1.15,1.29,1.57,2.21,2.42,-2.08,5.26,-0.34,0.62,1.48
2007,3,-0.93,-0.43,-0.33,-0.86,-0.67,0.51,-0.84,0.24,-1.08,3.62,-0.53,1.04,1
2007,4,0.12,0.36,0,0.25,0.7,0.87,-0.68,0.33,-0.41,-0.94,-1.58,-1.07,-0.89
2008,1,-0.42,0.26,1.07,0.16,-0.61,2.36,-0.85,-0.58,-0.46,-0.51,0.75,0.47,0.65
2008,2,0.51,0.59,1.31,-1.37,0.54,1.28,-0.94,0.6,0.16,0.34,-1.95,-0.14,0.12
2008,3,0.85,1.51,1.06,-0.67,1.4,2.56,-0.36,1.49,1.27,0.89,-0.21,1.68,2.97
2008,4,-0.73,0.69,0.93,-0.47,1.71,0.61,-0.05,-0.5,-1,0.18,-0.75,-0.5,-0.25
2009,1,1.58,1.52,0.62,-0.16,0.26,1.08,0.75,1.06,-0.14,-1.74,-0.46,-0.46,0.29
2009,2,-0.18,-0.05,-0.2,0.75,0.29,1.28,-0.78,-1.12,1.28,1.02,-0.33,1.25,1.22
2009,3,-0.07,0.47,1.45,-0.09,2.43,1.97,-0.38,-0.21,0.12,-0.3,-1.06,-0.07,0.27
2009,4,-0.3,1.23,0,-0.52,0.95,-0.8,-0.4,3.71,2.44,0.78,-1.08,0.89,1.21
2010,1,-1.57,-0.42,1.54,-1.18,0.85,0.45,-0.8,-1.08,0.99,1.59,1.03,1.25,1.15
2010,2,-1.28,1.67,0.76,1.23,0.43,-0.02,3.8,0.87,-0.23,0.68,0.02,0.16,0.77
2010,3,-0.19,0.69,0.35,0.41,1.8,0.32,0.87,-0.57,-0.62,1.9,0.18,1.58,2.39
2010,4,0.5,3.74,2.21,0.47,2.51,3.46,1.28,1.4,0.65,-0.67,-0.42,0.31,1.33
2011,1,-0.04,1.18,0.54,0.29,0.12,1.24,0.82,0.64,-1.05,-0.74,0.64,-0.2,0.41
2011,2,-1.75,1.77,3.49,1.87,0.9,3.66,-0.25,0.14,1.26,-1.51,0.01,1.21,1.76
2011,3,0.36,2.8,1.27,-0.97,1.72,1.33,1.92,2.14,-0.6,-2.81,-1.07,-1.61,-0.15
2011,4,-1.18,0.46,2.55,-0.88,0.06,1.15,-0.73,0.97,1.02,-1.22,-0.78,-0.58,-0.39
2012,1,1.21,0.15,-0.78,0.21,0.31,0.44,-1.2,0.3,-0.71,1.32,-1.25,-0.41,-0.21
2012,2,-0.56,2.48,-0.14,2.31,1.09,1.25,2.19,1.75,-0.89,0.43,-0.27,-0.09,0.78
2012,3,0.12,0.56,-0.07,-0.88,0.57,1.2,0.07,0.56,1.23,-3.07,-1.27,-2.06,-2.02
2012,4,0.73,0.84,1.59,0.28,0.91,0.96,0.17,0.19,-0.56,-1.29,-1.23,-1.02,-0.69
2013,1,0.99,1.12,0.92,-0.69,0.68,2.93,-0.53,-0.18,1.19,0.03,-0.65,0.65,1.25
